Samples ID	F532 Median - B532	Name	spotID
534	500	S1_0.1_T	#1-111
534	825	S1_0.1_S	#1-121
534	971	S1_0.25_S	#1-131
534	833	S1_0.5_S	#1-141
534	1011	S1_0.1_B	#1-151
534	3204	S1_0.25_B	#1-161
534	3551	S1_0.5_B	#1-171
534	1209	S-RBD_0.5_Y	#1-181
534	14	S-RBD_0.25_S	#1-191
534	298	S-RBD_0.5_S	#1-1101
534	150	S2-1_0.05_T	#1-1111
534	180	S2-2_0.1_T	#1-1121
534	6736	N-protein_0.1_T	#1-1131
534	13844	N-protein_0.05_K	#1-1141
534	11113	N-protein_0.1_K	#1-1151
534	12124	N-protein_0.2_K	#1-1161
534	10	buffer	#1-1171
534	5957	N-protein_0.1_W	#1-1181
534	9136	N-protein_0.25_W	#1-1191
534	14129	N-protein_0.5_W	#1-1201
534	1123	N-protein_0.1_S	#1-1211
534	15134	N-protein_0.25_S	#1-1221
534	16388	N-protein_0.5_S	#1-1231
534	5617	N-Cter_0.1_K	#1-1241
534	5267	N-Cter_0.25_K	#1-1251
534	6098	N-Cter_0.5_K	#1-1261
534	6385	N-Nter_0.1_K	#1-1271
534	8536	N-Nter_0.25_K	#1-1281
534	9471	N-Nter_0.5_K	#1-1291
534	50	NSP2_0.05_K	#1-1301
534	106	NSP2_0.1_K	#1-1311
534	137	NSP2_0.25_K	#1-1321
534	488	S1_0.1_T	#1-112
534	838	S1_0.1_S	#1-122
534	947	S1_0.25_S	#1-132
534	865	S1_0.5_S	#1-142
534	1031	S1_0.1_B	#1-152
534	3191	S1_0.25_B	#1-162
534	3394	S1_0.5_B	#1-172
534	1146	S-RBD_0.5_Y	#1-182
534	5	S-RBD_0.25_S	#1-192
534	358	S-RBD_0.5_S	#1-1102
534	13824	S2-1_0.05_T	#1-1112
534	178	S2-2_0.1_T	#1-1122
534	7018	N-protein_0.1_T	#1-1132
534	12209	N-protein_0.05_K	#1-1142
534	8442	N-protein_0.1_K	#1-1152
534	9053	N-protein_0.2_K	#1-1162
534	83	buffer	#1-1172
534	5419	N-protein_0.1_W	#1-1182
534	8418	N-protein_0.25_W	#1-1192
534	13694	N-protein_0.5_W	#1-1202
534	1073	N-protein_0.1_S	#1-1212
534	14538	N-protein_0.25_S	#1-1222
534	16276	N-protein_0.5_S	#1-1232
534	4796	N-Cter_0.1_K	#1-1242
534	4504	N-Cter_0.25_K	#1-1252
534	5707	N-Cter_0.5_K	#1-1262
534	6271	N-Nter_0.1_K	#1-1272
534	7262	N-Nter_0.25_K	#1-1282
534	8861	N-Nter_0.5_K	#1-1292
534	55	NSP2_0.05_K	#1-1302
534	97	NSP2_0.1_K	#1-1312
534	135	NSP2_0.25_K	#1-1322
534	444	S1_0.1_T	#1-113
534	735	S1_0.1_S	#1-123
534	802	S1_0.25_S	#1-133
534	822	S1_0.5_S	#1-143
534	943	S1_0.1_B	#1-153
534	3051	S1_0.25_B	#1-163
534	3508	S1_0.5_B	#1-173
534	1104	S-RBD_0.5_Y	#1-183
534	5	S-RBD_0.25_S	#1-193
534	334	S-RBD_0.5_S	#1-1103
534	141	S2-1_0.05_T	#1-1113
534	140	S2-2_0.1_T	#1-1123
534	6481	N-protein_0.1_T	#1-1133
534	10826	N-protein_0.05_K	#1-1143
534	7755	N-protein_0.1_K	#1-1153
534	6837	N-protein_0.2_K	#1-1163
534	436	buffer	#1-1173
534	5394	N-protein_0.1_W	#1-1183
534	8141	N-protein_0.25_W	#1-1193
534	13565	N-protein_0.5_W	#1-1203
534	1038	N-protein_0.1_S	#1-1213
534	14008	N-protein_0.25_S	#1-1223
534	15160	N-protein_0.5_S	#1-1233
534	4387	N-Cter_0.1_K	#1-1243
534	4203	N-Cter_0.25_K	#1-1253
534	4988	N-Cter_0.5_K	#1-1263
534	5813	N-Nter_0.1_K	#1-1273
534	7983	N-Nter_0.25_K	#1-1283
534	8275	N-Nter_0.5_K	#1-1293
534	64	NSP2_0.05_K	#1-1303
534	106	NSP2_0.1_K	#1-1313
534	158	NSP2_0.25_K	#1-1323
534	451	S1_0.1_T	#1-114
534	678	S1_0.1_S	#1-124
534	715	S1_0.25_S	#1-134
534	832	S1_0.5_S	#1-144
534	960	S1_0.1_B	#1-154
534	3258	S1_0.25_B	#1-164
534	3285	S1_0.5_B	#1-174
534	1020	S-RBD_0.5_Y	#1-184
534	3	S-RBD_0.25_S	#1-194
534	203	S-RBD_0.5_S	#1-1104
534	138	S2-1_0.05_T	#1-1114
534	170	S2-2_0.1_T	#1-1124
534	6862	N-protein_0.1_T	#1-1134
534	11140	N-protein_0.05_K	#1-1144
534	8031	N-protein_0.1_K	#1-1154
534	6188	N-protein_0.2_K	#1-1164
534	221	buffer	#1-1174
534	5420	N-protein_0.1_W	#1-1184
