Samples ID	F635 Median - B635
534	63
534	495
534	688
534	867
534	135
534	320
534	349
534	137
534	7
534	44
534	265
534	298
534	309
534	654
534	613
534	654
534	5
534	323
534	450
534	610
534	68
534	594
534	616
534	349
534	362
534	427
534	298
534	459
534	516
534	25
534	44
534	68
534	58
534	461
534	563
534	841
534	103
534	319
534	318
534	138
534	7
534	60
534	765
534	315
534	335
534	598
534	523
534	536
534	5
534	305
534	422
534	601
534	62
534	594
534	624
534	290
534	306
534	398
534	297
534	324
534	509
534	31
534	41
534	72
534	48
534	436
534	555
534	826
534	100
534	271
534	305
534	144
534	8
534	74
534	255
534	250
534	293
534	599
534	492
534	434
534	17
534	335
534	406
534	624
534	59
534	562
534	602
534	280
534	285
534	364
534	269
534	459
534	498
534	24
534	48
534	73
534	48
534	371
534	502
534	865
534	100
534	305
534	312
534	111
534	5
534	34
534	269
534	268
534	313
534	615
534	481
534	422
534	15
534	324
534	347
534	550
534	54
534	547
534	585
534	290
534	287
534	315
534	249
534	390
534	522
534	25
534	36
534	71
534	69
534	10
534	16
534	37
534	779
534	85
534	94
534	97
534	9
534	380
534	747
534	1299
534	72
534	146
534	161
534	620
534	2
534	1374
534	60
534	76
534	92
534	854
534	11
534	44
534	163
534	217
534	568
534	1183
534	18
534	56
534	176
534	104
534	54
534	6
534	15
534	44
534	808
534	107
534	91
534	108
534	12
534	298
534	745
534	1350
534	69
534	139
534	180
534	623
534	26
534	1344
534	59
534	78
534	90
534	859
534	16
534	46
534	162
534	128
534	590
534	1206
534	11
534	50
534	166
534	103
534	76
534	8
534	18
534	39
534	661
534	110
534	106
534	121
534	17
534	341
534	848
534	1275
534	91
534	127
534	229
534	640
534	4
534	1365
534	63
534	76
534	94
534	898
534	20
534	47
534	156
534	158
534	592
534	1189
534	11
534	52
534	165
534	109
534	74
534	6
534	16
534	45
534	784
534	98
534	109
534	120
534	13
534	537
534	758
534	1389
534	77
534	131
534	227
534	669
534	5
534	1367
534	63
534	94
534	95
534	958
534	27
534	55
534	155
534	174
534	629
534	1244
534	13
534	62
534	180
534	111
534	77
534	111
534	139
534	270
534	18
534	73
534	149
534	1001
534	0
534	186
534	180
534	119
534	87
534	894
534	88
534	80
534	0
534	0
534	5
534	23
534	665
534	990
534	395
534	1020
534	27
534	19830
534	8
534	29
534	858
534	7765
534	189
534	10
534	47
534	121
534	151
534	230
534	33
534	75
534	162
534	902
534	2
534	184
534	168
534	120
534	74
534	850
534	78
534	88
534	1
534	0
534	4
534	23
534	585
534	935
534	367
534	974
534	27
534	17745
534	7
534	37
534	745
534	8090
534	186
534	10
534	65
534	151
534	182
534	247
534	42
534	83
534	145
534	1001
534	1
534	168
534	184
534	137
534	83
534	894
534	77
534	86
534	0
534	8
534	1
534	25
534	573
534	784
534	461
534	931
534	26
534	17956
534	13
534	39
534	773
534	3002
534	146
534	13
534	59
534	122
534	187
534	282
534	37
534	77
534	162
534	1001
534	3
534	176
534	179
534	140
534	97
534	881
534	82
534	83
534	0
534	1
534	2
534	20
534	658
534	639
534	404
534	977
534	29
534	16970
534	10
534	24
534	201
534	699
534	113
534	11
535	1238
535	2387
535	2263
535	2124
535	2735
535	6174
535	7084
535	2576
535	43
535	2053
535	217
535	401
535	3521
535	9374
535	8754
535	9316
535	-33
535	4527
535	5787
535	8037
535	737
535	6731
535	8460
535	3823
535	4120
535	4899
535	8366
535	9360
535	9438
535	72
535	123
535	270
535	1154
535	2457
535	2649
535	2306
535	2556
535	5918
535	6278
535	2193
535	18
535	1618
535	254
535	308
535	3301
535	8854
535	6191
535	5305
535	-52
535	4512
535	5860
535	8321
535	655
535	6911
535	7125
535	3597
535	4054
535	4595
535	8113
535	9369
535	9725
535	58
535	137
535	286
535	1072
535	2402
535	2478
535	2130
535	2442
535	5812
535	6206
535	2246
535	12
535	1511
535	269
535	356
535	3473
535	8395
535	6307
535	5305
535	-66
535	3740
535	5575
535	8278
535	864
535	7873
535	8177
535	3527
535	3769
535	4488
535	7982
535	8836
535	9636
535	68
535	126
535	253
535	1157
535	2356
535	2357
535	2117
535	2376
535	5904
535	5793
535	1917
535	7
535	1501
535	280
535	299
535	3327
535	8574
535	6063
535	4145
535	-87
535	3567
535	5473
535	8200
535	634
535	7127
535	7345
535	3470
535	3498
535	4028
535	7179
535	8019
535	9219
535	40
535	122
535	277
535	65
535	-4
535	4
535	8
535	455
535	83
535	85
535	82
535	-10
535	433
535	888
535	1302
535	153
535	1037
535	925
535	1594
535	-699
535	5097
535	112
535	197
535	200
535	454
535	70
535	148
535	369
535	440
535	587
535	1178
535	162
535	155
535	301
535	1124
535	54
535	-2
535	10
535	4
535	477
535	82
535	79
535	83
535	-11
535	446
535	814
535	1240
535	146
535	1201
535	1021
535	2225
535	89
535	4318
535	86
535	161
535	181
535	528
535	62
535	127
535	341
535	358
535	601
535	1117
535	160
535	156
535	303
535	1093
535	43
535	-3
535	2
535	12
535	473
535	84
535	68
535	72
535	-8
535	425
535	830
535	1235
535	161
535	1295
535	1047
535	3412
535	-4
535	4380
535	98
535	173
535	189
535	557
535	46
535	135
535	360
535	359
535	632
535	1129
535	148
535	156
535	299
535	1080
535	50
535	5
535	8
535	17
535	444
535	94
535	75
535	67
535	-15
535	404
535	897
535	1348
535	163
535	1388
535	1231
535	2529
535	104
535	4793
535	142
535	180
535	177
535	617
535	63
535	157
535	370
535	344
535	636
535	1209
535	171
535	158
535	335
535	1140
535	115
535	168
535	264
535	149
535	51
535	123
535	233
535	689
535	-21
535	352
535	320
535	58
535	42
535	703
535	428
535	221
535	62
535	291
535	3
535	73
535	493
535	965
535	529
535	747
535	8
535	21074
535	-14
535	23
535	874
535	7611
535	214
535	-8
535	115
535	214
535	250
535	130
535	70
535	129
535	252
535	638
535	-21
535	332
535	356
535	46
535	34
535	698
535	408
535	180
535	-25
535	243
535	15
535	82
535	571
535	832
535	463
535	721
535	19
535	19158
535	-2
535	24
535	882
535	6722
535	179
535	-2
535	98
535	139
535	291
535	137
535	72
535	127
535	262
535	663
535	-24
535	366
535	375
535	64
535	66
535	702
535	379
535	183
535	2
535	254
535	24
535	96
535	572
535	873
535	447
535	774
535	14
535	18212
535	-5
535	19
535	756
535	7218
535	185
535	-7
535	115
535	208
535	272
535	159
535	75
535	148
535	305
535	669
535	-25
535	360
535	385
535	45
535	55
535	719
535	317
535	163
535	-22
535	253
535	22
535	90
535	567
535	805
535	447
535	795
535	6
535	17972
535	-13
535	31
535	754
535	6381
535	153
535	0
410	717
410	1655
410	1619
410	1822
410	2442
410	8210
410	9218
410	1354
410	30
410	851
410	332
410	513
410	2437
410	4306
410	4631
410	4521
410	50
410	2147
410	2721
410	4860
410	254
410	4086
410	4854
410	4737
410	4908
410	5632
410	940
410	1365
410	1322
410	91
410	204
410	184
410	712
410	1848
410	1562
410	1751
410	2476
410	8462
410	8587
410	516
410	31
410	1855
410	403
410	436
410	2278
410	4150
410	4353
410	4028
410	180
410	2176
410	2786
410	5386
410	331
410	5077
410	5954
410	4972
410	5296
410	5567
410	1009
410	1401
410	1074
410	104
410	206
410	172
410	656
410	1693
410	1397
410	1752
410	2449
410	8387
410	8839
410	614
410	16
410	1753
410	321
410	428
410	2478
410	4155
410	4075
410	3709
410	149
410	2168
410	3254
410	4209
410	359
410	4127
410	6090
410	4860
410	5385
410	5312
410	987
410	1441
410	1335
410	105
410	175
410	196
410	675
410	1486
410	1331
410	1629
410	2487
410	8368
410	5081
410	986
410	8
410	1360
410	420
410	427
410	2147
410	3611
410	3983
410	3796
410	91
410	2092
410	3342
410	5162
410	314
410	4478
410	6116
410	4861
410	5408
410	5094
410	986
410	1396
410	1117
410	72
410	197
410	194
410	111
410	24
410	30
410	93
410	737
410	260
410	210
410	209
410	44
410	2615
410	4272
410	5848
410	309
410	750
410	1185
410	1091
410	110
410	2950
410	683
410	1029
410	1186
410	1200
410	102
410	351
410	967
410	800
410	3894
410	5696
410	94
410	407
410	1335
410	454
410	109
410	13
410	29
410	84
410	752
410	247
410	225
410	180
410	42
410	2509
410	4049
410	5858
410	386
410	756
410	1171
410	1196
410	60
410	2882
410	703
410	973
410	1086
410	1160
410	113
410	284
410	959
410	749
410	3742
410	5343
410	84
410	366
410	1262
410	443
410	112
410	16
410	21
410	82
410	780
410	242
410	232
410	160
410	19
410	2349
410	3969
410	5995
410	399
410	810
410	1175
410	1197
410	53
410	2890
410	689
410	1003
410	1259
410	1117
410	108
410	335
410	1033
410	721
410	3793
410	5286
410	71
410	368
410	1271
410	409
410	106
410	15
410	24
410	79
410	791
410	261
410	225
410	164
410	495
410	2440
410	3972
410	5970
410	394
410	698
410	1175
410	1109
410	39
410	3093
410	811
410	1120
410	1423
410	1266
410	146
410	352
410	1048
410	808
410	4319
410	6294
410	84
410	423
410	1259
410	380
410	152
410	268
410	416
410	308
410	92
410	272
410	611
410	1015
410	14
410	909
410	895
410	277
410	92
410	1081
410	93
410	1856
410	13
410	10
410	46
410	165
410	703
410	625
410	419
410	1326
410	41
410	17084
410	45
410	65
410	709
410	5751
410	149
410	18
410	127
410	252
410	474
410	267
410	73
410	199
410	543
410	948
410	8
410	986
410	837
410	334
410	73
410	913
410	80
410	1887
410	13
410	27
410	68
410	135
410	525
410	834
410	448
410	1305
410	34
410	17534
410	37
410	69
410	709
410	7315
410	157
410	14
410	223
410	327
410	389
410	272
410	73
410	259
410	619
410	1046
410	15
410	978
410	863
410	330
410	84
410	952
410	78
410	1901
410	7
410	20
410	51
410	155
410	569
410	752
410	395
410	1367
410	25
410	14751
410	34
410	61
410	609
410	6578
410	151
410	19
410	122
410	335
410	456
410	282
410	73
410	249
410	599
410	1175
410	21
410	991
410	1021
410	325
410	90
410	985
410	62
410	1966
410	5
410	25
410	55
410	143
410	604
410	967
410	347
410	1262
410	34
410	19209
410	27
410	49
410	598
410	6873
410	145
410	8
510	709
510	1477
510	1522
510	1662
510	1509
510	4226
510	4405
510	943
510	3
510	1185
510	319
510	364
510	1590
510	2324
510	2631
510	2784
510	-9
510	1490
510	1884
510	2785
510	302
510	2347
510	3014
510	3492
510	3655
510	3602
510	362
510	540
510	559
510	75
510	243
510	460
510	683
510	1389
510	1458
510	1658
510	1487
510	3881
510	4234
510	683
510	3
510	1049
510	319
510	363
510	1519
510	2167
510	2518
510	2637
510	-19
510	1257
510	2085
510	2856
510	258
